fold,n_train,n_test,n_train_pids,n_test_pids,auc,approach,kind
0,320,85,64,17,1.0,o4-mini,llm
1,325,80,65,16,0.9951171875,o4-mini,llm
2,325,80,65,16,1.0,o4-mini,llm
3,325,80,65,16,0.9990234375,o4-mini,llm
4,325,80,65,16,1.0,o4-mini,llm
0,320,85,64,17,0.9740484429065743,Human post-edit,edited
1,325,80,65,16,0.98046875,Human post-edit,edited
2,325,80,65,16,0.9658203125,Human post-edit,edited
3,325,80,65,16,0.970703125,Human post-edit,edited
4,325,80,65,16,0.9462890625,Human post-edit,edited
0,320,85,64,17,0.9506920415224913,Claude Opus 4.7,claude-opus-4-7
1,325,80,65,16,0.96875,Claude Opus 4.7,claude-opus-4-7
2,325,80,65,16,0.912109375,Claude Opus 4.7,claude-opus-4-7
3,325,80,65,16,0.9384765625,Claude Opus 4.7,claude-opus-4-7
4,325,80,65,16,0.94140625,Claude Opus 4.7,claude-opus-4-7
0,320,85,64,17,0.9117647058823529,GPT-5.5,gpt-5.5
1,325,80,65,16,0.91015625,GPT-5.5,gpt-5.5
2,325,80,65,16,0.896484375,GPT-5.5,gpt-5.5
3,325,80,65,16,0.91015625,GPT-5.5,gpt-5.5
4,325,80,65,16,0.9423828125,GPT-5.5,gpt-5.5
